County,Population,Violent,Murder,Rape,Robbery,Aggrevated assault,Property,Burglary,Vehicle theft,Larceny theft,Sum Non-Violent,Temperature,Employment Total,Average Weekly Salary,0 BR Rent,1 BR Rent ,2 BR Rent,3 BR Rent,4 BR Rent
Alameda,"1,664,783",584.7,5.8,42.2,295.3,241.5,"4,008.40",391.4,616.7,"3,000.30","9,198.00",61.6,"729,068"," $1,831.00 ","$1,595 ","$1,934 ","$2,383 ","$3,196 ","$3,863 "
Alpine,"1,149","1,131.40",0,174.1,0,957.4,"2,785.00","1,131.40",348.1,"1,305.50","5,570.00",46.2,789, $938.00 ,$723 ,$819 ,"$1,068 ","$1,528 ","$1,695 "
Amador,"37,820",290.9,2.6,21.2,23.8,243.3,"1,771.50",470.7,97.8,"1,203.10","3,638.30",60.5,"11,553"," $1,053.00 ",$880 ,$886 ,"$1,149 ","$1,644 ","$1,980 "
Butte,"221,521",462.3,3.2,81.3,75.4,302.5,"2,402.50",501.5,391.8,"1,509.10","5,106.50",62.3,"75,103"," $1,046.00 ",$825 ,$904 ,"$1,192 ","$1,692 ","$2,064 "
Calaveras,"45,085",321.6,2.2,75.4,20,224,"1,858.70",658.8,153,"1,046.90","3,797.40",60.8,"9,649", $979.00 ,$718 ,$837 ,"$1,061 ","$1,518 ","$1,837 "
Colusa,"21,990",263.8,0,68.2,40.9,154.6,"1,578.00",495.7,254.7,827.6,"3,319.60",64.2,"8,480"," $1,053.00 ",$654 ,$733 ,$966 ,"$1,382 ","$1,673 "
Contra Costa,"1,150,621",359.6,4.7,27.8,132,195.1,"2,481.70",311.1,399.7,"1,770.90","5,491.40",62.8,"340,296"," $1,609.00 ","$1,595 ","$1,934 ","$2,383 ","$3,196 ","$3,863 "
Del Norte,"27,127",401.8,7.4,47.9,95.8,250.7,"2,963.80",925.3,173.3,"1,865.30","6,310.90",53.6,"7,580", $951.00 ,$677 ,$827 ,"$1,000 ","$1,387 ","$1,702 "
El Dorado,"190,018",170,2.6,31,28.9,107.4,"1,346.70",331,76.8,938.9,"2,809.00",56.4,"54,137"," $1,204.00 ","$1,060 ","$1,188 ","$1,495 ","$2,140 ","$2,588 "
Fresno,"1,015,195",466.6,5.4,26.3,90.4,344.5,"2,284.80",462.4,343.1,"1,479.30","4,931.20",57.5,"376,366"," $1,059.00 ",$795 ,$851 ,"$1,064 ","$1,509 ","$1,747 "
